Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation
USA,AK,2024,"12        ",Female,16,Right-Handed,162,24,170,1,Car,7,.327,42,Gymnastics,713,711,978,1000,670,824,24,"Same length",74,75,"Ring finger",March,Spring,No,No,Pizza/Pasta,Water,Other,6,4,3,"Yes - broadband connection",Other,20,20,2,4,2,4,1,5,7,12,12,8,4,3,"Very little",Other,"Heavy metal",Invisibility,Rich,Friend,"Wildlife, animals"
USA,AK,2023,"12        ",Female,16,Right-Handed,164cm,24cm,141cm,2,Car,10min,0.75s,28sec,Other,1,2,3,4,5,6,23cm,"Right foot",80cm,90mm,"Same length",April,Summer,Yes,No,Fruit,Water,Science,5.5hr,6hrs,5,"Yes - other","Cell phone",13,23,2hrs,4hrs,6hrs,6hrs,1.5hr,1hr,6hrs,4hrs,4hrs,5hrs,0,4hrs,"A lot","Some college",Other,"Freeze time",Happy,Other,Health
USA,AK,2024,"12        ",Female,17,Right-Handed,160.0,26.5,152,2,Car,6,0.422,40,Baseball/Softball,1000,545,390,455,519,1000,26.5,"Same length",20,23,"Ring finger",January,Summer,No,No,Meat,Water,History,5,9,12,"Yes - broadband connection","Text messaging",5,5,10,3,2,12,1,1,3,4,10,3,0,5,Some,"Graduate degree",Gospel,Telepathy,Happy,"Religious figure",Religious
USA,AK,2017,"12        ",Male,16,Right-Handed,173,27,173,2,Car,"5 ",0.501,50,Bowling,604,535,476,727,406,856,27,"Same length",70,70,"Same length",March,Fall,No,No,Meat,"Soft drink (caffeinated)","Mathematics and statistics",7,7,4,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",10,15,1,1,3,6,2,0,1,1,4,5,0,1,"Very little","Graduate degree","Heavy metal","Freeze time",Happy,Relative,Health
USA,AK,2017,"12        ",Female,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,AK,2018,"12        ",Male,18,Right-Handed,168,24,172,1,Car,6,0.474,68,Basketball,997,807,888,565,262,1000,23,"Right foot",72,81,"Ring finger",October,Summer,No,No,Pizza/Pasta,Water,"Physical education",6,11,7,"Yes - other","Text messaging",112,112,16,2,0,1,25,3,7,8,24,0,0,0,None,"Graduate degree","Rap/Hip hop",Fly,Happy,"Sports person",Health
USA,AK,2015,"11        ",Male,17,Right-Handed,154.9,23,162,2,Car,7,.336,32,Basketball,1000,1000,1000,1000,800,900,23,"Same length",90,90,"Same length",February,Fall,No,No,"No favorite",Water,History,7,10,3,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",80,80,6,24,12,9,12,1,36,36,24,0,30,8,"A lot","Graduate degree",Other,Telepathy,Happy,Relative,Environment
USA,AK,2022,"12        ",Male,17,Right-Handed,1524,27.9,76.2,2,Bus,"10 ",0.658,62,"Football (American)",299,711,519,663,476,267,27.9,"Same length",100,80,"Index finger",April,Spring,No,No,"No favorite","Energy drink",Music,12AM,12AM,8,"Yes - broadband connection","Text messaging",50,40,0,"4 - 5",2,0,5,0,0,2,0,2,6,1,Some,"Graduate degree","Rap/Hip hop",Invisibility,Happy,Relative,Health
USA,AK,2018,"12        ",Female,16,Left-Handed,160,22.5,156,1,Bus,10,0.317,45,None,800,600,1000,400,200,900,22.5,"Same length",60.5,60,"Index finger",May,Spring,No,No,"Rice/Noodle dishes",Water,Other,8.5,8,7,"Yes - broadband connection","In person",0,0,0,,,,,,,,,,,,,,,,,,
USA,AK,2022,"12        ",Male,17,Right-Handed,170,27,116,1,Car,4,0.65,51,Swimming,800,300,750,450,500,700,27,"Same length",80,80,"Same length",July,Winter,No,No,"Rice/Noodle dishes",Coffee,"Physical education",7,12,5,"Yes - broadband connection","Text messaging",100,120,72,42,0,10,10,45,6,4,2,3,26,10,Some,"Graduate degree","Rap/Hip hop","Freeze time",Rich,Relative,Environment
