Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation
USA,NY,2023,"12        ",Female,17,Right-Handed,166,25,165,2,Car,8,0.536,44,Dancing,300,200,100,100,500,600,25,"Same length",73,78,"Ring finger",September,Spring,No,Yes,Fruit,Water,"Mathematics and statistics",4,10,4,"Yes - other","In person",14,13,5,0,14,2,0,0,5,1,20,0,0,0,"A lot","Graduate degree","Rock and roll","Freeze time",Rich,Teacher,"Wildlife, animals"
USA,NY,2011,"5         ",Male,10,Right-Handed,154,25,149,1,Bus,30,0.297,54,Lacrosse,824,893,834,,1000,1000,24,"Right foot",90,80,"Index finger",August,Spring,No,No,Meat,Water,"Computers and technology",10,8,4,"Yes - broadband connection","In person",0,0,8,0,7,20,12,20,0,0,12,26,0,12,Some,"Graduate degree",Pop,Invisibility,Famous,Other,"Wildlife, animals"
USA,NY,2019,"10        ",Female,15,Right-Handed,175,23,173,1,Boat,45,0.312,52,Skateboarding/Rollerblading,500,1000,1000,900,0,700,24,"Left foot",7.5,7.5,"Same length",June,Spring,Yes,No,Meat,Water,Other,5,10,4,"Yes - other","Text messaging",249,270,4,20,5,12,2,6,6,11,24,4,5,1,Some,,Techno/Electronic,Fly,Happy,Relative,"Education/Youth development"
USA,NY,2016,"6         ",Male,11,Right-Handed,142,22,143,1,Bus,45,0.393,57,Lacrosse,187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,NY,2021,"12        ",Male,17,Right-Handed,"1,70 ",24,"1,73",2,"Rail (Train/Tram/Subway)",27,0.411,53,Cycling,800,400,500,300,800,1000,24,"Same length",9,10,"Ring finger",July,Fall,Yes,No,Meat,Juice,History,7,10,2,"Yes - broadband connection","Internet chat or instant messaging",8,180,35,2,13,15,2,16,6,8,40,2,0,4,Some,"Graduate degree",Classical,"Freeze time",Happy,Politician,Environment
USA,NY,2018,"6         ",Male,11,Left-Handed,154,27,140,2,Walk,1,0.549,63,Soccer,700,800,600,550,0,0,27,"Same length",7,7,"Ring finger",July,Winter,No,No,Fruit,Juice,History,8,6,6,"Yes - other","In person",5,4,1,0,1,3,1,3,1,0,2,1,2,1,Some,"Some college","Heavy metal",Invisibility,Happy,Relative,"Wildlife, animals"
USA,NY,2019,"10        ",Female,16,Right-Handed,170,25,172,1.5,Car,10,0.518,48,None,600,700,900,500,"800 ",1000,24,"Right foot",83,90,"Ring finger",March,Winter,Yes,No,"No favorite",Water,"Mathematics and statistics","5 -6",12,5,"Yes - other","In person",0,5,0,0,21,10,0,84,0,0,84,68,0,0,"A lot","Graduate degree",Jazz,Fly,Rich,Actor,Health
USA,NY,2015,"7         ",Female,12,Right-Handed,157.5,22.5,157,2,Car,5,1.9,60,Soccer,9000,5000,9500,9700,7000,8000,22.5,"Same length",89,95,"Index finger",May,Summer,No,No,Meat,Water,"Social studies",8,7,4,"Yes - other","In person",0,0,14,1,3,10,10,35,0,0,40,3,0,3,"Very little","Graduate degree","Punk rock",Telepathy,Healthy,Actor,"International aid"
USA,NY,2017,"6         ",Female,12,Right-Handed,163,25,167,1,Bus,20,,0.444,Walking/Hiking,797,631,749,610,32,80,25,"Same length",9,9,"Same length",May,Spring,Yes,No,Desserts,Water,English,7.5,8,4,"Yes - other","Text messaging",6,7,0.5,0,6,2,1,1.5,0,1,5,4,0,1.5,"A lot","Graduate degree",Pop,Invisibility,Happy,Actor,"International aid"
USA,NY,2017,"12        ",Female,16,Right-Handed,158,22,150,1,Car,5,.297,31,"Table Tennis",1000,1000,1000,1000,900,1000,22,"Same length",68,71,"Ring finger",October,Fall,No,No,Seafood,Water,Other,6,10,6,"Yes - other","Myspace, Facebook, other social networking sites, or blog",5,8,12,1,5,21,4,5,17,2,40,21,5,5,Some,"Graduate degree","Rock and roll",Invisibility,Happy,Relative,Environment
USA,NY,2023,"10        ",Male,15,Left-Handed,167,,,2,"Rail (Train/Tram/Subway)",80,0.318,36,Other,800,800,700,700,500,500,,,,,"Ring finger",July,Fall,No,No,"No favorite",Water,Science,6-7,7-9,5,"Yes - other","Myspace, Facebook, other social networking sites, or blog",22,20,5,0,5,4,0,14,7,3,40,0,0,2,"A lot","Graduate degree",Techno/Electronic,Invisibility,Rich,Friend,Environment
USA,NY,2020,"10        ",Male,16,Right-Handed,177.8,25.4,177.8,4,Walk,15,.31,23,Dancing,499,1000,0,0,1000,800,25.4,"Same length",76.2,63.5,"Index finger",December,Spring,Yes,No,Meat,"Soft drink (caffeinated)",History,5,8,3,,"Text messaging",50,100,30,2,4,3,2,30,40,160,30,4,0,0,"A lot","High school",Reggae,"Freeze time",Rich,"Religious figure","International aid"
USA,NY,2022,"12        ",Male,18,Right-Handed,165,25,168,1,"Rail (Train/Tram/Subway)",30,0.418,41,Basketball,569,459,422,685,1000,1000,25,"Same length",94,97,"Ring finger",April,Fall,Yes,No,"Rice/Noodle dishes",Water,"Mathematics and statistics",5,8,3,"Yes - broadband connection","Text messaging",50,300,4,1,6,4,10,35,10,5,35,0,0,5,Some,"Undergraduate degree","Rhythm and blues (R&B)",Invisibility,Happy,Relative,"Education/Youth development"
USA,NY,2011,"12        ",Female,17,Right-Handed,175,23,169,2,Car,7,0.325,,Soccer,262,610,251,,989,968,23,"Same length",85,85,"Same length",March,Summer,,Yes,Breads/Sandwiches,Water,"Social studies",6.5,10,7,"Yes - broadband connection","In person",50,50,30,,,,,,,,,,,,,,,,,,
USA,NY,2022,"12        ",Male,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,NY,2015,"6         ",Female,12,Right-Handed,157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,NY,2022,"11        ",Female,15,Right-Handed,5'10,243,,1,Car,15,0.32,41,Soccer,1000,690,840,1000,176,701,243,"Same length",65,69,"Index finger",October,Fall,Yes,No,Other,Coffee,Science,6,10,3,"Yes - other","Text messaging",60,70,100,60,100,50,100,10,160,90,100,60,0,30,"A lot","Graduate degree",Pop,Invisibility,Happy,Relative,Environment
USA,NY,2017,"12        ",Female,18,Right-Handed,164,23,165,2,"Rail (Train/Tram/Subway)",20,.327,50,Running/Jogging,647,449,482,567,321,273,23,"Same length",90,95,"Ring finger",April,Spring,No,No,"Rice/Noodle dishes",Water,History,5,9,4,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",1,3,6,1,15,18,6,10,10,9,21,7,6,3,Some,"Graduate degree",Pop,Invisibility,Healthy,Relative,Environment
USA,NY,2023,"10        ",Male,16,Right-Handed,,,,2,"Rail (Train/Tram/Subway)",35,.297,53,Basketball,600,600,700,700,800,800,,,,,,April,Fall,No,No,Meat,Water,"Computers and technology",7,10,7,"Yes - broadband connection","Text messaging",50,50,10,1,15,25,10,10,10,5,25,2,0,10,Some,"Graduate degree","Rap/Hip hop","Freeze time",Rich,"Doctor or nurse",Religious
