Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation
USA,OH,2014,"6         ",Female,11,Left-Handed,148,21,139,1,Car,10,0.58,46,Swimming,21,21,21,600,10000,10000,21,"Same length",65,66,"Ring finger",September,Summer,No,No,,"Soft drink (caffeinated)",,7,6,4,"No internet connection","In person",5,3,15,1,3,17,13,5,5,1,2,6,0,0,"Very little","Undergraduate degree",,Fly,Healthy,"Musician or singer","Wildlife, animals"
USA,OH,2015,"12        ",Female,19,Right-Handed,160,25,153,2,Walk,10,.369,45,Running/Jogging,300,900,800,500,1000,1000,25,"Same length",70,60,"Index finger",July,Summer,No,No,Meat,Water,English,9,9,3,"Yes - broadband connection","Text messaging",100,150,90,2,30,20,3,0,50,50,50,0,40,5,Some,"Undergraduate degree",Country,Fly,Rich,Relative,Health
USA,OH,2019,"10        ",Male,15,Right-Handed,176,Dunno,Dunno,1,Car,15,0.247,42,None,800,500,100,1000,1000,1000,Dunno,"Same length",Small,S.ish,"Ring finger",June,Spring,Yes,No,Meat,Water,Other,8,7,3,"Yes - broadband connection","Internet chat or instant messaging",5,3,0,0,0,6,0,25,0,4,Big,0,0,0,None,Other,Other,Telepathy,Rich,Other,Health
USA,OH,2015,"11        ",Female,17,Right-Handed,160,22,157,1,Car,12,.57,50,Swimming,400,400,400,500,900,900,22,"Same length",63,64,"Ring finger",October,Fall,No,No,Pizza/Pasta,Milk,"Social studies",7,6,5,"Yes - broadband connection","In person",5,3,4,0,5,4,2,0,7,3,15,12,10,2,"A lot","Undergraduate degree",Country,Invisibility,Happy,Relative,Religious
USA,OH,2019,"12        ",Female,17,Right-Handed,160,20,158,2,Bus,25min,2.33,37,Gymnastics,1000,1000,1000,1000,0,0,20,"Same length",80,60,"Index finger",April,Summer,No,No,Meat,Water,"Mathematics and statistics",9,13,3,"Yes - broadband connection","Text messaging",45,45,8,5,3,4,3,0,2,8,0,0,8,1,"Very little","Graduate degree","Rap/Hip hop",Telepathy,Healthy,"Doctor or nurse",Health
USA,OH,2023,"4         ",Male,9,Ambidextrous,151,9,149,3,Bus,15,0.417,57,Basketball,1000,999,853,904,200,400,9,"Same length",64,71,"Ring finger",July,Summer,Yes,No,Poultry,Water,"Computers and technology",8,0,7,"Yes - other","In person",14,0,8,8,0,3,4,9,12,0,8,0,1,1,Some,"Undergraduate degree",Techno/Electronic,"Freeze time",Happy,Friend,Other
USA,OH,2024,"12        ",Female,17,Left-Handed,170,23,68.5,1,Car,3,0.332,36,Lacrosse,203,203,118,118,850,845,24,"Left foot",89,79,"Index finger",May,Spring,No,No,Pizza/Pasta,"Energy drink",English,8.5,9.5,3,"Yes - broadband connection","Text messaging",24,24,2,,5,,8,6,,,,,25,,Some,"Graduate degree","Rap/Hip hop",Fly,Rich,Relative,"Wildlife, animals"
USA,OH,2016,"12        ",Female,17,Right-Handed,160,24.5,,2,Bus,30,,,Gymnastics,,,,,,,24.5,"Same length",7.8,7.2,,October,Summer,No,No,Pizza/Pasta,Water,Other,6,9,4,"Yes - other","In person",,,,,2,,,0,,,,,,,Some,"Some college",Pop,Fly,Happy,,"International aid"
USA,OH,2019,"7         ",Female,13,Right-Handed,160,21,165,1,Walk,15,0.725,50,Athletics,583,150,1000,583,96,332,23,"Left foot",90,75,"Index finger",January,Summer,No,No,Fruit,"Soft drink (non-caffeinated)","Physical education",8,4,3,"Yes - dial-up connection","In person",5,9,25,20,1,2,20,30,20,2,8,30,0,10,Some,"Graduate degree",Other,Telepathy,Healthy,Actor,Health
USA,OH,2012,"12        ",Male,17,Right-Handed,175,25.4,177.8,1,Car,10,.705,49,Other,1000,1000,500,1000,500,500,25.4,"Same length",6.35,5.08,"Index finger",October,Fall,No,No,"No favorite",Milk,Music,6,8,3,"Yes - broadband connection","In person",0,0,24,1,3,3,10,3,3,2,7,5,0,5,Some,Other,"Rock and roll",Telepathy,Happy,Actor,"Education/Youth development"
