Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation
USA,TX,2016,"12        ",Male,17,Right-Handed,177.8,26,167.6,1,Car,15,.67,68,Other,900,800,850,800,500,900,25,"Right foot",8,7.5,"Index finger",July,Winter,No,No,Poultry,Tea,"Mathematics and statistics",6,8,4,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",5,4,25,.25,5,.25,25,30,.5,0,70,0,0,15,Some,"Graduate degree",Pop,Fly,Happy,"Religious figure",Environment
USA,TX,2014,"4         ",Male,10,Ambidextrous,144,22,122,2,Car,15,,,Soccer,50,100,1000,1000,500,1000,24,"Left foot",75,80,"Ring finger",March,Summer,No,No,Pizza/Pasta,Milk,Science,12,8,4,"Yes - other","In person",0,0,15,0.5,24,1,2,20,0,0.1,14,21,0,0,None,"Graduate degree",Country,Invisibility,Happy,Other,Health
USA,TX,2017,"12        ",Male,17,Right-Handed,168,20.32,80,1,Bus,7,0.393,44,Soccer,1000,1000,1000,1000,529,722,20.32,"Same length",70,70,"Same length",March,Spring,Yes,No,"No favorite",Water,Other,7,8,5,"Yes - other","Text messaging",10,10,2,2,20,7,2,4,0,2,5,0,0,2,"Very little",Other,Other,"Freeze time",Happy,Other,"International aid"
USA,TX,2013,"5         ",Female,11,Right-Handed,149,24,154,1,Car,15,0.625,47,Dancing,0,1000,1000,1000,100,20,24,"Same length",9,7,"Index finger",April,Summer,Yes,No,Meat,Water,Art,10,8,2,"No internet connection","Cell phone",30,13,8,5,2,6,1,1,12,5,1,6,,2,Some,Other,"Rap/Hip hop",Telepathy,Healthy,Relative,Health
USA,TX,2016,"12        ",Male,18,Right-Handed,175,24,178,1,Walk,15,0,0,Walking/Hiking,1000,700,600,900,700,800,25,"Left foot",72,76,"Ring finger",June,Spring,Yes,No,Meat,Juice,History,6,10,6,"Yes - broadband connection","Text messaging",100,250,5,1,3,10,12,12,1,10,10,10,0,2,Some,"Graduate degree","Rock and roll","Freeze time",Happy,Relative,Health
USA,TX,2013,"11        ",Male,16,Right-Handed,162,24,135,2,Car,10,.307,35,Dancing,900,0,700,800,5,1000,24,"Same length",650,600,"Index finger",July,Winter,No,No,"No favorite",Water,Other,3,1,3,"Yes - broadband connection","Text messaging",500,550,75,1,0,25,0,5,0,50,25,0,5,0,Some,"Graduate degree","Rap/Hip hop","Freeze time",Happy,"Religious figure",Health
USA,TX,2024,"10        ",Female,15,Right-Handed,160,22,160,1,Car,35,.359,37,"Martial Arts",850,775,600,700,900,900,23,"Left foot",6.5,6.5,"Same length",September,Winter,Yes,Yes,Breads/Sandwiches,Juice,"Mathematics and statistics",9,11,4,"Yes - broadband connection","Text messaging",110,100,3,5,25,28,5,21,2,5,30,15,0,3,"A lot","Graduate degree","Rock and roll","Freeze time",Happy,Relative,"Wildlife, animals"
USA,TX,2016,"12        ",Female,17,Right-Handed,168,23,158,2,Car,5,0,0,Swimming,200,200,200,300,500,500,24,"Left foot",75,69,"Index finger",October,Fall,Yes,No,Pizza/Pasta,Water,Other,8,6,4,"Yes - broadband connection","Text messaging",46,58,3,1,2,8,2,2,5,3,8,3,0,4,"Very little","Graduate degree","Punk rock","Freeze time",Famous,Relative,Health
USA,TX,2018,"12        ",Female,17,Right-Handed,157,22,155,2,Car,15,0.426,62,Walking/Hiking,1000,513,385,144,32,765,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,TX,2023,"12        ",Female,18,Right-Handed,153,24,65,3,Walk,15,0.764,45,Dancing,650,700,720,750,870,900,24,"Same length",70,60,"Index finger",November,Summer,No,No,Pizza/Pasta,Water,Other,6,8,4,"Yes - other","Text messaging",30,24,6,12,6,8,4,0,12,12,7,3,9,7,Some,"Graduate degree","Rap/Hip hop",Telepathy,Happy,"Business person","Arts, culture, sports"
